timeframe,open_time,open,high,low,close,volume,buy_volume,sell_volume,tick_count
15m,1773127800.0,1.3854,1.3869,1.3838,1.3857,126468.52,0.0,0.0,0
15m,1773128700.0,1.3857,1.3886,1.3844,1.3874,165272.51,0.0,0.0,0
15m,1773129600.0,1.3874,1.3973,1.3874,1.395,983090.8,0.0,0.0,0
15m,1773130500.0,1.395,1.3988,1.3936,1.3946,508593.15,0.0,0.0,0
15m,1773131400.0,1.3946,1.4116,1.3946,1.4074,1380708.64,0.0,0.0,0
15m,1773132300.0,1.4074,1.4074,1.4006,1.4017,872711.73,0.0,0.0,0
15m,1773133200.0,1.4017,1.4077,1.4016,1.4063,546824.81,0.0,0.0,0
15m,1773134100.0,1.4063,1.4183,1.405,1.4175,1184671.79,0.0,0.0,0
15m,1773135000.0,1.4175,1.419,1.4153,1.4177,496427.93,0.0,0.0,0
15m,1773135900.0,1.4177,1.4193,1.4149,1.4165,767599.39,0.0,0.0,0
15m,1773136800.0,1.4165,1.4176,1.412,1.4139,790121.8,0.0,0.0,0
15m,1773137700.0,1.4139,1.4157,1.4098,1.41,1236154.49,0.0,0.0,0
15m,1773138600.0,1.41,1.4122,1.4044,1.4055,600185.04,0.0,0.0,0
15m,1773139500.0,1.4055,1.4081,1.4049,1.4058,432271.86,0.0,0.0,0
15m,1773140400.0,1.4058,1.4058,1.3982,1.3982,649833.13,0.0,0.0,0
15m,1773141300.0,1.3982,1.3987,1.3926,1.3937,349901.31,0.0,0.0,0
15m,1773142200.0,1.3937,1.3945,1.3897,1.3901,459313.15,0.0,0.0,0
15m,1773143100.0,1.3901,1.3942,1.389,1.391,610716.4,0.0,0.0,0
15m,1773144000.0,1.391,1.3919,1.3833,1.3864,624133.07,0.0,0.0,0
15m,1773144900.0,1.3864,1.3885,1.3834,1.3843,388894.49,0.0,0.0,0
15m,1773145800.0,1.3843,1.39,1.3827,1.389,322107.27,0.0,0.0,0
15m,1773146700.0,1.389,1.3906,1.3874,1.389,184536.77,0.0,0.0,0
15m,1773147600.0,1.389,1.3966,1.389,1.3966,466796.12,0.0,0.0,0
15m,1773148500.0,1.3966,1.4016,1.3959,1.4,341957.4,0.0,0.0,0
15m,1773149400.0,1.4,1.4012,1.3814,1.3902,866621.05,0.0,0.0,0
15m,1773150300.0,1.3902,1.3971,1.3869,1.3933,619035.71,0.0,0.0,0
15m,1773151200.0,1.3933,1.397,1.3827,1.3853,659373.93,0.0,0.0,0
15m,1773152100.0,1.3853,1.3992,1.3817,1.3978,604246.75,0.0,0.0,0
15m,1773153000.0,1.3978,1.4213,1.3978,1.4183,1764914.09,0.0,0.0,0
15m,1773153900.0,1.4183,1.438,1.4174,1.4343,2333547.1,0.0,0.0,0
15m,1773154800.0,1.4343,1.4427,1.4261,1.4272,2379219.43,0.0,0.0,0
15m,1773155700.0,1.4272,1.4301,1.4196,1.4282,1016849.55,0.0,0.0,0
15m,1773156600.0,1.4282,1.4347,1.4229,1.4288,1121904.59,0.0,0.0,0
15m,1773157500.0,1.4288,1.4311,1.4223,1.431,661494.63,0.0,0.0,0
15m,1773158400.0,1.431,1.4332,1.4242,1.4276,917059.42,0.0,0.0,0
15m,1773159300.0,1.4276,1.4375,1.4276,1.4319,1285020.45,0.0,0.0,0
15m,1773160200.0,1.4319,1.4323,1.4258,1.4287,583278.55,0.0,0.0,0
15m,1773161100.0,1.4287,1.4302,1.4233,1.4273,434546.56,0.0,0.0,0
15m,1773162000.0,1.4273,1.4305,1.4254,1.4267,237717.34,0.0,0.0,0
15m,1773162900.0,1.4267,1.4298,1.4184,1.4202,466540.35,0.0,0.0,0
15m,1773163800.0,1.4202,1.4233,1.409,1.4119,927231.08,0.0,0.0,0
15m,1773164700.0,1.4119,1.4156,1.4091,1.4127,575924.27,0.0,0.0,0
